	488-1  530_30-A
0	312.63680221509316
1	836.2471258732849
2	1612.0259230911781
3	4865.643607624496
4	10104.200979731278
5	14802.1267025566
6	19789.735526754117
7	25722.46052260256
8	33673.74095808969
9	46533.01947695676
10	66429.08116864921
11	106503.7991070962
